url,Property ID,Price,State of the property,Availability,Number of bedrooms,Livable surface,Furnished,Attic,Garage,Number of garages,Kitchen equipment,Kitchen type,Number of bathrooms,Number of showers,Number of toilets,Type of heating,Type of glazing,Elevator,Number of facades,Garden,Surface garden,Terrace,Surface terrace,Total land surface,Swimming pool
https://immovlan.be/en/detail/loft/for-sale/1180/ukkel/vbd47181,vbd47181,698 000 €,Normal,On contract,3,220 m²,No,,Yes,1,Super equipped,,2,,2,Gas,Double glass,No,3,No,,Yes,16 m²,,No
https://immovlan.be/en/detail/residence/for-sale/9031/drongen/rbu66393,rbu66393,639 000 €,Normal,On contract,4,184 m²,,,Yes,,Fully equipped,Western kitchen,1,,2,Gas,Double glass,,3,Yes,426 m²,Yes,,516 m²,No
https://immovlan.be/en/detail/garage/for-sale/8400/zandvoorde/rbu49816,rbu49816,19 000 €,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/business-surface/for-sale/2060/antwerp/rbu58437,rbu58437,215 000 €,Excellent,,,,,,,,,,,,1,Gas,Double glass,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/9000/gent/rbu64213,rbu64213,898 750 €,New,,4,195 m²,No,,Yes,,Super equipped,,2,,3,,Double glass,No,2,Yes,450 m²,Yes,,592 m²,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64830,rbu64830,439 142 €,,,3,135 m²,,,Yes,,,,,,,,,,3,Yes,,No,,226 m²,
https://immovlan.be/en/detail/land/for-sale/4590/ouffet/vbd35398,vbd35398,95 000 €,,,,,,,,,,,,,,,,,,,,,,1231 m²,
https://immovlan.be/en/detail/commercial-building/for-sale/5000/namur/vbd37486,vbd37486,1 750 000 €,Normal,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/4920/aywaille/vbd09822,vbd09822,219 000 €,To be renovated,On contract,4,133 m²,,Yes,Yes,1,,Independent,1,,1,Fuel oil,,No,4,Yes,325 m²,Yes,20 m²,488 m²,No
https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbd47952,vbd47952,565 000 €,Excellent,On contract,2,125 m²,No,,Yes,,Super equipped,,1,1,2,Gas,Double glass,Yes,2,,,Yes,20 m²,,No
https://immovlan.be/en/detail/residence/for-sale/1654/huizingen/rbu56244,rbu56244,524 000 €,,,3,163 m²,,Yes,,,,,1,,2,,Double glass,,3,Yes,,Yes,18 m²,260 m²,
https://immovlan.be/en/detail/apartment/for-sale/1930/zaventem/vbc44986,vbc44986,346 000 €,New,On contract,2,83 m²,No,,,,,,1,,,Gas,Double glass,Yes,,Yes,,Yes,12 m²,,No
